,Episodes,Rewards
1292,129,48.0
1293,129,192.0
1294,129,28.0
1295,129,154.0
1296,129,11.0
1297,129,141.0
1298,129,184.0
1299,129,34.0
1300,130,151.0
1301,130,48.0
1302,130,47.0
1303,130,192.0
1304,130,27.0
1305,130,143.0
1306,130,11.0
1307,130,133.0
1308,130,182.0
1309,130,48.0
1310,131,151.0
1311,131,44.0
1312,131,46.0
1313,131,192.0
1314,131,30.0
1315,131,143.0
1316,131,9.0
1317,131,152.0
1318,131,182.0
1319,131,37.0
1320,132,151.0
1321,132,48.0
1322,132,47.0
1323,132,192.0
1324,132,28.0
1325,132,143.0
1326,132,11.0
1327,132,106.0
1328,132,182.0
1329,132,43.0
1330,133,151.0
1331,133,54.0
1332,133,42.0
1333,133,192.0
1334,133,27.0
1335,133,143.0
1336,133,10.0
1337,133,103.0
1338,133,182.0
1339,133,58.0
1340,134,151.0
1341,134,52.0
1342,134,46.0
1343,134,192.0
1344,134,28.0
1345,134,180.0
1346,134,11.0
1347,134,113.0
1348,134,191.0
1349,134,68.0
1350,135,151.0
1351,135,51.0
1352,135,46.0
1353,135,192.0
1354,135,30.0
1355,135,169.0
1356,135,9.0
1357,135,108.0
1358,135,191.0
1359,135,42.0
1360,136,151.0
1361,136,51.0
1362,136,52.0
1363,136,192.0
1364,136,28.0
1365,136,169.0
1366,136,11.0
1367,136,99.0
1368,136,191.0
1369,136,52.0
1370,137,151.0
1371,137,55.0
1372,137,43.0
1373,137,192.0
1374,137,30.0
1375,137,195.0
1376,137,9.0
1377,137,114.0
1378,137,191.0
1379,137,53.0
1380,138,151.0
1381,138,64.0
1382,138,41.0
1383,138,192.0
1384,138,28.0
1385,138,195.0
1386,138,12.0
1387,138,101.0
1388,138,191.0
1389,138,71.0
1390,139,151.0
1391,139,60.0
1392,139,42.0
1393,139,192.0
1394,139,28.0
1395,139,195.0
1396,139,9.0
1397,139,102.0
1398,139,191.0
1399,139,70.0
1400,140,151.0
1401,140,74.0
1402,140,44.0
1403,140,192.0
1404,140,30.0
1405,140,183.0
1406,140,11.0
1407,140,128.0
1408,140,191.0
1409,140,61.0
1410,141,151.0
1411,141,59.0
1412,141,48.0
1413,141,192.0
1414,141,28.0
1415,141,154.0
1416,141,12.0
1417,141,131.0
1418,141,191.0
1419,141,162.0
1420,142,151.0
1421,142,95.0
1422,142,48.0
1423,142,192.0
1424,142,27.0
1425,142,111.0
1426,142,11.0
1427,142,119.0
1428,142,191.0
1429,142,137.0
1430,143,151.0
1431,143,70.0
1432,143,48.0
1433,143,192.0
1434,143,33.0
1435,143,115.0
1436,143,12.0
1437,143,132.0
1438,143,191.0
1439,143,61.0
1440,144,151.0
1441,144,70.0
1442,144,46.0
1443,144,192.0
1444,144,34.0
1445,144,113.0
1446,144,11.0
1447,144,147.0
1448,144,191.0
1449,144,133.0
1450,145,151.0
1451,145,180.0
1452,145,54.0
1453,145,192.0
1454,145,28.0
1455,145,101.0
1456,145,9.0
1457,145,181.0
1458,145,191.0
1459,145,111.0
1460,146,151.0
1461,146,73.0
1462,146,53.0
1463,146,192.0
1464,146,31.0
1465,146,84.0
1466,146,9.0
1467,146,133.0
1468,146,191.0
1469,146,149.0
1470,147,151.0
1471,147,134.0
1472,147,48.0
1473,147,192.0
1474,147,35.0
1475,147,84.0
1476,147,11.0
1477,147,133.0
1478,147,191.0
1479,147,163.0
1480,148,167.0
1481,148,114.0
1482,148,54.0
1483,148,192.0
1484,148,33.0
1485,148,79.0
1486,148,9.0
1487,148,149.0
1488,148,191.0
1489,148,162.0
1490,149,161.0
1491,149,92.0
1492,149,53.0
1493,149,192.0
1494,149,35.0
1495,149,73.0
1496,149,11.0
1497,149,180.0
1498,149,191.0
1499,149,154.0
1500,150,133.0
1501,150,89.0
1502,150,53.0
1503,150,192.0
1504,150,32.0
1505,150,72.0
1506,150,10.0
1507,150,165.0
1508,150,191.0
1509,150,96.0
1510,151,121.0
1511,151,86.0
1512,151,57.0
1513,151,192.0
1514,151,38.0
1515,151,74.0
1516,151,13.0
1517,151,165.0
1518,151,191.0
1519,151,96.0
1520,152,124.0
1521,152,79.0
1522,152,56.0
1523,152,192.0
1524,152,34.0
